Quinto semestre: 2022-20
CBCA 1061, 01: Historia del Traje en Occidente (Tipo E)	Calificación		Valor		Puntos				Tiempo por créditos	
	Nota	Porcentual	Porcentual	Créditos	Perdidos	Alcanzables			Con clases	Sin clases
Final Exam	4.28	85.60%	30.00%	0.90	-0.2160	4.72			30 h y 24 min	43 h y 12 min
Nota final	4.72	94.43%	100.00%	3.00	-0.2787	4.72				
Nota final con política de aproximación al .5 (+0.03 piedad de Daniel y Taka)	5.00	100.00%	100.00%							
Máxima nota final alcanzable a la fecha	4.72	94.43%	100.00%							
Mínima nota final alcanzable a la fecha	4.72	94.43%	100.00%							
										
ISIS 2304, 03: Sistemas Transaccionales (SisTrans)	Calificación		Valor		Puntos				Tiempo por créditos	
	Nota	Porcentual	Porcentual	Créditos	Perdidos	Alcanzables			Con clases	Sin clases
Evaluación escrita individual 1	3.98	79.60%	16.00%	0.48	-0.1632	4.84			16 h y 13 min	23 h y 2 min
Evaluación escrita individual 2	4.24	84.80%	17.00%	0.51	-0.1292	4.71			17 h y 14 min	24 h y 29 min
Taller 1: Modelo relacional	4.53	90.60%	2%	0.06	-0.0094	4.70			2 h y 2 min	2 h y 53 min
Taller 2: SQL parte 1	3.68	73.60%	2%	0.06	-0.0264	4.67			2 h y 2 min	2 h y 53 min
Taller 3: SQL parte 2	4.70	94.00%	3%	0.09	-0.0090	4.66			3 h y 2 min	4 h y 19 min
Proyecto iteración 1	4.78	95.60%	6.00%	0.18	-0.0132	4.65			6 h y 5 min	8 h y 38 min
Proyecto iteración 2	4.04	80.80%	7.00%	0.21	-0.0672	4.58			7 h y 6 min	10 h y 5 min
Proyecto iteración 3	4.99	99.80%	7.00%	0.21	-0.0007	4.58			7 h y 6 min	10 h y 5 min
Evaluación escrita individual 3	3.19	63.80%	17.00%	0.51	-0.3077	4.26			17 h y 14 min	24 h y 29 min
Proyecto iteración 4	4.70	94.00%	6.00%	0.18	-0.0180	4.26			6 h y 5 min	8 h y 38 min
Evaluación escrita individual 4	3.40	68.00%	17.00%	0.51	-0.2720	3.98			17 h y 14 min	24 h y 29 min
Bono por promedio evaluaciones y promedio iteraciones	0.25				0	3.98			0 min	0 min
Nota final	3.98	79.68%	100.00%	3.00	-1.0160	3.98				
Nota final con política de aproximación al .25	4.00	80.00%								
Nota final con política de aproximación y posible bono	4.25	85.00%	100.00%							
Máxima nota final alcanzable a la fecha	3.98	79.68%	100.00%							
Mínima nota final alcanzable a la fecha	3.98	79.68%	100.00%							
Para bono de 0.25/5.00 en acumulado total de notas: promedio evaluaciones >= 3.5 y promedio iteraciones >= 4										
										
ISIS 2603, 03: Desarrollo de Software en Equipos	Calificación		Valor		Puntos: Materia				Tiempo por créditos	
	Nota	Porcentual	Porcentual	Créditos	Perdidos	Alcanzables			Con clases	Sin clases
Pryecto ciclo 1 iteración 1 individual	4.63	92.60%	7.00%	0.21	-0.0259	4.97			7 h y 6 min	10 h y 5 min
Pryecto ciclo 1 iteración 1 grupal	4.75	95.00%	3.00%	0.09	-0.0075	5.04			3 h y 2 min	4 h y 19 min
Parcial 1 (Práctico)	5.00	100.00%	10.00%	0.30	0	4.97			10 h y 8 min	14 h y 24 min
Pryecto ciclo 1 iteración 2 individual	5.00	100.00%	7.00%	0.21	0	5.04			7 h y 6 min	10 h y 5 min
Pryecto ciclo 1 iteración 2 grupal	5.00	100.00%	3.00%	0.09	0	5.04			3 h y 2 min	4 h y 19 min
Parcial 1 (Teórico)	4.44	88.80%	5.00%	0.15	-0.0280	5.04			5 h y 4 min	7 h y 12 min
Taller TypeScript 1	5.00	100.00%	2.50%	0.08	0	5.04			2 h y 32 min	3 h y 36 min
Taller TypeScript 2	5.00	100.00%	2.50%	0.08	0	5.04			2 h y 32 min	3 h y 36 min
Pryecto ciclo 2 iteración 1	4.85	97.00%	15.00%	0.45	-0.0225	5.04			15 h y 12 min	21 h y 36 min
Parcial 2 (Práctico)	5.00	100.00%	15.00%	0.45	0	5.04			15 h y 12 min	21 h y 36 min
Pryecto ciclo 2 iteración 2	5.50	110.00%	25.00%	0.75	0.1250	5.04			25 h y 20 min	36 h
Parcial 2 (Teórico)	4.42	88.40%	5.00%	0.15	-0.0290	5.01			5 h y 4 min	7 h y 12 min
Nota final	5.01	100.24%	100.00%	3.00	0.0121	5.01				
Nota final con política de aproximación a la décima	5.00	100.00%	100.00%							
Máxima nota final alcanzable a la fecha	5.01	100.24%	100.00%							
Mínima nota final alcanzable a la fecha	5.01	100.24%	100.00%							
										
LENG 1303, 02: Alemán 3	Calificación		Valor		Puntos				Tiempo por créditos	
	Nota	Porcentual	Porcentual	Créditos	Perdidos	Alcanzables			Con clases	Sin clases
Hausaufgabe Meine Heimatstadt	5.00	100.00%	3.00%	0.09	0	5.00			2 h y 24 min	4 h y 19 min
Hausaufgabe Mein Lieblingsfilm	5.00	100.00%	3.00%	0.09	0	5.00			2 h y 24 min	4 h y 19 min
Participación en clase corte 1	5.00	100.00%	6.00%	0.18	0	5.00			4 h y 48 min	8 h y 38 min
Bloque Neón corte 1	4.90	98.00%	3.00%	0.09	-0.0030	5.00			2 h y 24 min	4 h y 19 min
Examen parcial 1	4.62	92.40%	15.00%	0.45	-0.0570	4.94			12 h	21 h y 36 min
